You are (a):,What is the name of the company you work in?,What is your position at the university you are working in?,What are you studying?,Which academical institution are you affiliated with?,Academia/Industry/Other?,Are you a member of the Norwegian Chemical Society?,Can you briefly explain why you are a member in the Norwegian Chemical Society?,"When was the last time you read the publication ""Kjemi""?","On a scale from 1-5, how interesting do you find the publication ""Kjemi"" is for you?
",Are you familiar with the Norwegian Chemical Society?,"On a scale from 1 -5, how interested would you be in joining the Norwegian Chemical Society?","If you answered 3 or lower in the last question, could you give a brief description to why? 
","Are you familiar with any of the offers of events, courses, etc. in your local area/for your area of interest which the Norwegian Chemical Society offers? If yes, which are you familiar with?",When did you last attend an event hosted by the Norwegian Chemical Society?,What do you believe to be the reason you have not gone to a Norwegian Chemical Society-event?,"On a scale from 1-5, how interested are you in: scientific talks about chemistry or chemistry-related topics","If you answered 4 or higher on the last question, are there any particular topics you would like to hear more about?","On a scale from 1-5, how interested are you in: visits to chemistry-related businesses?","If you answered 4 or higher on the last question, are there any particular businesses you would like to visit?","On a scale from 1-5, how interested are you in: crash-courses for specific courses?","On a scale from 1-5, how interested are you in courses/workshop in how to present, write a job application, etc.?","On a scale from 1-5, how interested are you in introduction/mid-level courses in software relevant to chemistry/research-related topics?","On a scale from 1-5, how interested are you in non-chemistry related social events","If you answered 4 or higher on the last question, what kind of events would you be interested in?",Any other events you would suggest that the Norwegian Chemical Society could host?,Any other events you would suggest that the Norwegian Chemical Society could host?,Which format do you prefer to attend events in? (You can choose multiple options),Which of the following formats do you think would be interesting to see from the Norwegian Chemical Society? (You can select multiple answers),How would you like to be informed about future events from the Norwegian Chemical Society?,Which day of the week would be the best option for you to attend an event hosted by the Norwegian Chemical Society? (You can select multiple options),When do you think is the best time for an event from the Norwegian Chemical Society to start?,"On a scale from 1 to 5, how strongly do you identify yourself as a chemist?","On a scale from 1 to 5, how relevant do you feel the Norwegian Chemical Society is for you?","On a scale from 1 to 5, how interested would you be in having apparel or merch (t-shirts, cloths, tote bags, etc.) with Norwegian Chemical Society logo?","On a scale from 1 to 5, how interested would you be in having apparel or merch (t-shirts, cloths, tote bags, etc.) with a design that shows your interest in chemistry?","If you answered 3 or higher on the previous question(s), what do you think would be a fair price (in NOK) for a t-shirt with such a design on it?",Is there something you like about the Norwegian Chemical Society?,Is there something you do not like about the Norwegian Chemical Society?,Is there anything you would like to add? 
Ph.D. student,,Ph.D. student,Chemistry,UiO,Academia,Member,,This year,4,,,,,1-3 years ago,,4,Industry presentations,5,Chemical labs in pharmaceutical industries,3,3,4,3,,,,Ingen preferanse / No preference,"YouTube videos about chemistry, Newsletter with short form content",E-mail,"Fredag / Friday, Lørdag / Saturday, Søndag / Sunday",5:30:00 PM,4,4,4,4,250,Events/Lectures,Too much Norwegian content,
Forskningsinstitutt,,,,,Other,Member,"Recommended membership, Community",This year,3,,,,,1-3 years ago,,4,"Forensic, populærvitenskapelige forelesninger",4,"Øl brygging, selv om dette også er mikrobiologi",4,2,4,4,Spesifikke forslag,Samarbeide med Tekna?,,Digitalt / Digitally,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Facebook, Instagram","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",3:00:00 PM,5,3,5,5,250,Events/Lectures,Do not care about recruiting students,"Increase visibility, Increase activity, Increase visibility"
Ph.D. student,,Ph.D. student,Chemistry,UiS,Academia,Member,"Networking, Community",This year,3,,,,,Never,Not been a member for long,4,Green energy solutions,3,,4,2,3,5,Nettverking/Sosialt,,,Fysisk / In-person,"YouTube videos about chemistry, Newsletter with short form content","E-mail, Posters at my faculty",Fredag / Friday,7:00:00 PM,5,4,4,5,250,Events/Lectures,Website,
University employee,,,,,Academia,Member,"Subject interest, Became a member when I was a student",This year,4,,,,"Conferences/Meetings, Lectures",1-3 years ago,,4,,4,,2,1,3,2,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Instagram (chemistry content)","E-mail, Instagram","Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",6:00:00 PM,4,3,5,5,300,Events/Lectures,,
Employed in industry,Akvaplan-niva AS,,,,Industry,Member,"Subject interest, Community",This year,4,,,,,1-3 years ago,,4,Dagsaktuelle tema som fanger bredt er jo best. Vanskelig å delta på alle møter når disse avholdes i vanlig arbeidstid (og en må forlat jobb).,3,,4,3,2,3,,,,Ingen preferanse / No preference,"Podcast about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Facebook","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",4:00:00 PM,5,3,4,4,,Events/Lectures,Low visibility,
Employed in industry,Elkem Technology,,,,Industry,Member,Recommended membership,This year,1,,,,Conferences/Meetings,1-3 years ago,,1,,4,Uorganisk kjemi generelt nær kurs eller arbeid,3,1,2,3,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry",E-mail,Ingen preferanse / No preferance for day,,5,4,1,5,200,Events/Lectures,Too academic,
University employee,,Postdoc / Researcher,,UiO,Academia,Member,I am a chemist,This year,3,,,,,1-3 years ago,,3,,4,"Steder relevant for min utdanning (metallorganisk, katalyse, organisk)",3,3,3,3,,,,Fysisk / In-person,"Newsletter with short form content, Instagram (chemistry content)","E-mail, Website, Facebook, Instagram",Ingen preferanse / No preferance for day,6:00:00 PM,5,4,3,3,200,"Events/Lectures, Networking",,
Ph.D. student,,Ph.D. student,Chemistry,UiS,Academia,Member,"Informed about recent development, Conferences",This year,3,,,,,1-3 years ago,,5,organic chemistry with environmental or medicinal applications,5,"industrial setting - scales, methodologies",3,4,5,3,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Instagram",Ingen preferanse / No preferance for day,,4,4,2,3,150,"Events/Lectures, Networking",,
University employee,,Engineer,,UiS,Academia,Member,"I am a chemist, Subject interest",This year,5,,,,,1-3 years ago,,5,"Produksjon, medisin, skolelab, kjemiske eksperimenter ",5,"Tine, matproduksjon, batteri, oljerelatert ",4,4,5,5,Vitenskapelig,Julesamling ,,Fysisk / In-person,"YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Facebook",Ingen preferanse / No preferance for day,5:00:00 PM,5,5,4,5,150,"Events/Lectures, New information",,
Ph.D. student,,Ph.D. student,Chemistry,UiB,Academia,Member,"Conferences, Events",This year,2,,,,,1-3 years ago,,4,Mindre kromatografi og lignende,3,,1,4,3,3,,,,Fysisk / In-person,"Podcast about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Posters at my faculty","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday",4:30:00 PM,5,3,1,1,,"Events/Lectures, Nobel dinner","The publication ""Kjemi""",
A student at master's level,,,Chemistry,UiO,Academia,Member,Conferences,This year,4,,,,Conferences/Meetings,1-3 years ago,,5,Organic chemistry,5,Samtlige som sponser organisk vintermøte for eksempel,3,2,3,2,,,,Fysisk / In-person,Livestream/VODs from NKS events,"E-mail, Posters at my faculty","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday",6:00:00 PM,3,4,2,4,250,"Events/Lectures, The publication ""Kjemi""",,
Teacher,,,,,Other,Non-member,,,,Yes,3,Not relevant for me,,More than 3 years ago,"Was not informed about the event, The time of the event did not suit me well, Did not have time",4,Undervisningsrelatert. Næringsmiddelkjemi. Materialteknologi.,4,"Usikker. Sikkert mykje som kan vere interessant. Har vore innom avfallshåndtering, fiskeavfallshåntering, næringsmiddelbedrifter, vassrensing, plast/polymer-formebedrift, laminering, ",5,1,3,1,,Konferanse for kjemilærere saman med bransje,,"Fysisk / In-person, Digitalt / Digitally","YouTube videos about chemistry, Newsletter with short form content, Instagram (chemistry content)","E-mail, Instagram",,,4,3,3,3,200,Get ideas for my teaching,,
Employed in industry,Forsvarets Forskningsinstitutt,,,,Industry,Member,Informed about recent development,This year,4,,,,"Conferences/Meetings, Lectures",More than 3 years ago,Other,5,Gjerne fra mindre firmaer eller spesifikke innovasjonsprosjekter fra mellomstore og større firmaer. Samt statlig sektor,5,"Kommer ikke på noen spesifikt, men produksjon er interessant å se.",2,4,5,3,,,,Fysisk / In-person,"Podcast about chemistry, Livestream/VODs from NKS events, Newsletter with short form content, Instagram (chemistry content)","E-mail, Instagram","Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",5:30:00 PM,4,4,5,5,300,"The publication ""Kjemi"", Not too much information",,
Ph.D. student,,Ph.D. student,Organic and Polymer Chemistry,UiS,Academia,Member,"Events, Community, Networking",This year,4,,,,Conferences/Meetings,1-3 years ago,,5,Polymer Chemistry / Biomaterials,5,GE Healthcare,5,5,5,5,Nettverking/Sosialt,Academic Writing and Presenting Workshops,,Ingen preferanse / No preference,"Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Instagram","Torsdag / Thursday, Fredag / Friday, Lørdag / Saturday, Søndag / Sunday",5:00:00 PM,4,4,5,5,300,Networking,"Outdated, Do not care about recruiting students, Website",Other
University employee,,(Assoc.) Professor,,UiS,Academia,Member,"Networking, Subject interest",This year,4,,,,,1-3 years ago,,5,"Applications of chemistry in diverse material characterizations in general, and cultural heritage in particular",5,Those where there are analytical chemistry applications such as quality control and assurance.,4,3,3,3,,"Considering the current developments, using social media for sharing information? It might help to reach wider audience.",,Ingen preferanse / No preference,"YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content, Twitter/X, Instagram (chemistry content)","E-mail, Website, Facebook, Instagram","Tirsdag / Tuesday, Torsdag / Thursday, Lørdag / Saturday, Søndag / Sunday",2:18:00 PM,5,5,5,5,200,Networking,Not enough diverse content,"Increase visibility, Increase activity, Increase visibility"
University employee,,Postdoc / Researcher,,Abroad,Academia,Member,Informed about recent development,This year,3,,,,,1-3 years ago,,3,,5,Lokale bedrifter,5,1,5,1,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Instagram (chemistry content)","E-mail, Website, Instagram",Ingen preferanse / No preferance for day,,5,5,4,5,275,Networking,"Outdated, Do not care about recruiting students",
University employee,,(Assoc.) Professor,,UiS,Academia,Member,I am a chemist,This year,4,,,,Conferences/Meetings,1-3 years ago,,5,Organisk kjemi,4,,3,3,4,4,Julebord,,,Fysisk / In-person,"Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website, Posters at my faculty",Onsdag / Wednesday,6:00:00 PM,5,5,4,4,250,Networking,Other,
Employed in industry,Unger Fabrikker,,,,Industry,Member,Subject interest,This year,3,,,,,More than 3 years ago,"Was not informed about the event, Too far away",5,Nye norske oppfinnelser,5,,3,1,4,4,,,,"Fysisk / In-person, Digitalt / Digitally","Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Instagram","Mandag / Monday, Torsdag / Thursday",7:00:00 PM,5,3,5,5,250,Networking,Low visibility,
Employed in industry,Båtsfjord Laboratorium AS,,,,Industry,Member,Other,1-3 years ago,4,,,,,Never,"No events have been neither interesting or relevant for me, The time of the event did not suit me well, I have felt that I have not been in the target audience for the events, Did not have time, Other, Other",3,,5,"Borregard, evt. andre",4,1,1,2,,"Fagdag, kvalitetssikring av metoder-kurs ol",,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Newsletter with short form content, Kurs/webinar","E-mail, Facebook, Instagram","Onsdag / Wednesday, Fredag / Friday",12:00:00 PM,3,2,3,5,300,Networking,Too academic,Record lectures/Streaming/Webinars
Rådgivning/Konsulent,,,,,Other,Member,I am a chemist,This year,4,,,,,1-3 years ago,,5,Analytisk kjemi,3,,2,1,1,3,,,,"Fysisk / In-person, Digitalt / Digitally",,E-mail,Ingen preferanse / No preferance for day,9:00:00 AM,5,5,4,3,,Networking,,
Ph.D. student,,,Chemistry,UiT,Academia,Member,"Conferences, I am a chemist",Never,3,,,,Conferences/Meetings,1-3 years ago,,4,I am mostly interested in mecdicinal and organic chemsitry,4,"Not really, I just think it would be nice to see what's out there",4,5,4,4,Nettverking/Sosialt,,,Fysisk / In-person,"Podcast about chemistry, Twitter/X, Instagram (chemistry content)","E-mail, Website, Instagram",Ingen preferanse / No preferance for day,3:00:00 PM,4,4,4,4,,Networking,,
Ph.D. student,,Ph.D. student,Chemistry,UiO,Academia,Member,"Conferences, Community",This year,3,,,,,1-3 years ago,,4,,5,,4,,5,4,,,,Fysisk / In-person,Podcast about chemistry,"E-mail, Posters at my faculty","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",,5,4,3,5,275,Networking,,"Increase visibility, Increase activity, Increase visibility"
Ph.D. student,,Ph.D. student,Chemistry,UiO,Academia,Member,"Community, Events, Conferences",This year,4,,,,,1-3 years ago,,4,,3,,4,4,3,3,,,,Fysisk / In-person,"YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Posters at my faculty","Torsdag / Thursday, Fredag / Friday",,5,3,3,4,,Networking,,
University employee,,(Assoc.) Professor,,NTNU,Academia,Member,Events,This year,4,,,,,1-3 years ago,,4,,3,,3,1,3,3,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Newsletter with short form content","E-mail, Website, Facebook, Instagram, Posters at my faculty","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday, Lørdag / Saturday",5:00:00 PM,4,5,4,4,150,Networking,,
A student at master's level,,,Chemistry,NTNU,Academia,Member,"Subject interest, Events",This year,4,,,,,1-3 years ago,,5,"drug design, kinase inhibitors, medicinal chemistry in general ",5,"Novartis, Astra Zeneca, Bayer",2,3,3,3,,,,Fysisk / In-person,"Podcast about chemistry, Livestream/VODs from NKS events","E-mail, Website","Lørdag / Saturday, Søndag / Sunday",10:00:00 AM,5,5,3,4,400,Networking,,
A student at a bachelor level,,,Chemistry,NTNU,Academia,Member,"Community, Networking",This year,5,,,,,Never,The time of the event did not suit me well,5,Kjemididaktikk,5,Ingen spesifikke,5,5,5,3,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Newsletter with short form content","E-mail, Posters at my faculty","Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",6:00:00 PM,5,5,5,5,200,Networking,,
University employee,,Engineer,,Norwegian University of Life Sciences,Academia,Member,Became a member when I was a student,1-3 years ago,2,,,,Lectures,1-3 years ago,,4,analytisk kjemi,5,laboratorier,1,1,1,3,,,,Fysisk / In-person,"Podcast about chemistry, Livestream/VODs from NKS events",E-mail,"Tirsdag / Tuesday, Søndag / Sunday",7:00:00 PM,5,3,4,5,350,Networking,,
A student at a bachelor level,,,Chemistry,UiB,Academia,Non-member,,,,Yes,4,,,1-3 years ago,,4,medisinsk kjemi,5,nammo,3,3,4,2,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Newsletter with short form content, Instagram (chemistry content)","E-mail, Instagram, Posters at my faculty","Onsdag / Wednesday, Torsdag / Thursday",6:00:00 PM,3,5,5,5,0,Networking,,
A student at master's level,,,Chemistry,UiO,Academia,Member,Conferences,Never,1,,,,Conferences/Meetings,1-3 years ago,,2,,5,"Borregaard, GE healthcare, Kappa solutions, synes, Norner, jotun",1,2,3,3,,,,Fysisk / In-person,YouTube videos about chemistry,"E-mail, Posters at my faculty","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",6:00:00 PM,5,4,5,5,275,Networking,,
