You are (a):,What is the name of the company you work in?,What is your position at the university you are working in?,What are you studying?,Which academical institution are you affiliated with?,Academia/Industry/Other?,Are you a member of the Norwegian Chemical Society?,Can you briefly explain why you are a member in the Norwegian Chemical Society?,"When was the last time you read the publication ""Kjemi""?","On a scale from 1-5, how interesting do you find the publication ""Kjemi"" is for you?
",Are you familiar with the Norwegian Chemical Society?,"On a scale from 1 -5, how interested would you be in joining the Norwegian Chemical Society?","If you answered 3 or lower in the last question, could you give a brief description to why? 
","Are you familiar with any of the offers of events, courses, etc. in your local area/for your area of interest which the Norwegian Chemical Society offers? If yes, which are you familiar with?",When did you last attend an event hosted by the Norwegian Chemical Society?,What do you believe to be the reason you have not gone to a Norwegian Chemical Society-event?,"On a scale from 1-5, how interested are you in: scientific talks about chemistry or chemistry-related topics","If you answered 4 or higher on the last question, are there any particular topics you would like to hear more about?","On a scale from 1-5, how interested are you in: visits to chemistry-related businesses?","If you answered 4 or higher on the last question, are there any particular businesses you would like to visit?","On a scale from 1-5, how interested are you in: crash-courses for specific courses?","On a scale from 1-5, how interested are you in courses/workshop in how to present, write a job application, etc.?","On a scale from 1-5, how interested are you in introduction/mid-level courses in software relevant to chemistry/research-related topics?","On a scale from 1-5, how interested are you in non-chemistry related social events","If you answered 4 or higher on the last question, what kind of events would you be interested in?",Any other events you would suggest that the Norwegian Chemical Society could host?,Any other events you would suggest that the Norwegian Chemical Society could host?,Which format do you prefer to attend events in? (You can choose multiple options),Which of the following formats do you think would be interesting to see from the Norwegian Chemical Society? (You can select multiple answers),How would you like to be informed about future events from the Norwegian Chemical Society?,Which day of the week would be the best option for you to attend an event hosted by the Norwegian Chemical Society? (You can select multiple options),When do you think is the best time for an event from the Norwegian Chemical Society to start?,"On a scale from 1 to 5, how strongly do you identify yourself as a chemist?","On a scale from 1 to 5, how relevant do you feel the Norwegian Chemical Society is for you?","On a scale from 1 to 5, how interested would you be in having apparel or merch (t-shirts, cloths, tote bags, etc.) with Norwegian Chemical Society logo?","On a scale from 1 to 5, how interested would you be in having apparel or merch (t-shirts, cloths, tote bags, etc.) with a design that shows your interest in chemistry?","If you answered 3 or higher on the previous question(s), what do you think would be a fair price (in NOK) for a t-shirt with such a design on it?",Is there something you like about the Norwegian Chemical Society?,Is there something you do not like about the Norwegian Chemical Society?,Is there anything you would like to add? 
Employed in industry,Thermo Fisher Scientific,,,,Industry,Member,Other,This year,3,,,,,1-3 years ago,,5,kanskje mer fra industrien,3,,5,1,5,3,,panel debatter ,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content, Other","E-mail, Website, LinkedIn",Ingen preferanse / No preferance for day,9:00:00 AM,5,5,5,5,300,"Networking, New information",,"Increase visibility, Increase activity, Increase visibility"
Teacher,,,,,Other,Member,Subject interest,This year,3,,,,,Never,"The time of the event did not suit me well, Too far away",4,Miljøkjemi,3,,4,1,4,1,,Lærerkurs ,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Livestream/VODs from NKS events","E-mail, Facebook",Ingen preferanse / No preferance for day,,3,3,3,4,250,New information,,
Employed in industry,ArcticZymes AS,,,,Industry,Member,I am a chemist,This year,4,,,,Lectures,1-3 years ago,,4,,4,,3,3,4,3,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Website","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",6:00:00 PM,5,4,2,4,200,"New information, Events/Lectures, The publication ""Kjemi""",,
Teacher,,,,,Other,Member,I am a chemist,This year,3,,,,Conferences/Meetings,More than 3 years ago,"The time of the event did not suit me well, I have felt that I have not been in the target audience for the events, Did not have time",4,"Grunnlag for Nobelpriser, historie om kjente kjemikere",5,"Equinor, Jotun, nikkelverket i Kristiansand",2,2,3,1,,"Opplegg for lab. i skole, orientering om regelverk for håndtering av kjemikalier",,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content",E-mail,"Tirsdag / Tuesday, Lørdag / Saturday, Søndag / Sunday",6:00:00 PM,3,3,3,3,99,New information,"The publication ""Kjemi""",Other
Ph.D. student,,,Chemistry,NTNU,Academia,Member,Conferences,This year,3,,,,,Never,The time of the event did not suit me well,5,,3,,4,2,4,1,,,,Fysisk / In-person,"YouTube videos about chemistry, Newsletter with short form content","E-mail, Website, Facebook, Posters at my faculty",Ingen preferanse / No preferance for day,6:30:00 PM,5,5,2,2,,New information,,
Ph.D. student,,Ph.D. student,Chemistry,UiB,Academia,Member,"Community, Informed about recent development",This year,3,,,,"Lectures, Company visits, Nobel dinner",1-3 years ago,,5,"Grønn energi, pedagogikk i kjemi",4,,4,3,4,5,,Muligheter til å skape interesse i kjemi med ungdommer. ,,Fysisk / In-person,"YouTube videos about chemistry, Newsletter with short form content, Instagram (chemistry content)","E-mail, Instagram","Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday, Lørdag / Saturday",5:00:00 PM,5,4,5,5,250,Nice people,Low activity,Other
Pensioner,,,,,Other,Member,"Subject interest, Community",This year,4,,,,Lectures,1-3 years ago,,4,"Kjemiens historie, populærvitenskapelige kjemiske tema",4,,3,1,1,3,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events",E-mail,Onsdag / Wednesday,,4,4,4,4,250,Nice people,,
Employed in industry,,,,,Industry,Member,Subject interest,1-3 years ago,3,,,,Juleavslutning,1-3 years ago,,3,,4,"Alltid interessant med bedriftsbesøk, spesielt om det er mulig å gå på detaljnivå",4,1,1,4,Tverrfaglig,"Bruk av husholdningskjemkalier til å lage basisvarer (såpe, fuktighetskrem, tannkrem etc)",,Fysisk / In-person,Podcast about chemistry,"Facebook, LinkedIn","Torsdag / Thursday, Ingen preferanse / No preferance for day",7:00:00 PM,3,4,3,3,250,"Nice people, New information",Low visibility,
Other,,,,,Other,Member,Became a member when I was a student,More than 3 years ago,2,,,,"Lectures, Nobel dinner, Company visits",1-3 years ago,,5,Kjemi og krig. Kjemi og mat. Kjemi og kosmetikk. Kjemi og medisiner. Kjemi og det grønne skiftet.,5,"Kommer ikke på noen konkrete i farten, men jeg tror det kunne vært lurt hvis NKS gjorde en kartlegging av bedrifter i Bergen som ansetter kjemikere og legge en plan for å vise dem frem, både for studenter, men også mtp. NKS som en arena for nettverksbygging mellom kjemikere på tvers av bransjer. ",1,1,1,1,,Quiz-kveld hvor man leier noen til å være quizmaster. Ølsmaking eller vinsmaking kombinert med noe relevant kjemifaglig. I større grad benytte seg av noen kjente formidlere innenfor kjemi som kan trekke mer deltakelse kan jo også vurderes.  ,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Newsletter with short form content",E-mail,"Mandag / Monday, Onsdag / Wednesday, Fredag / Friday",7:00:00 PM,5,4,5,5,200,Nobel dinner,Website,Improve website
A student at master's level,,,Chemistry,UiO,Academia,Member,Became a member when I was a student,Never,5,,,,,Never,Was not informed about the event,5,Synthesizing natural compounds,4,Research in synthesis ,3,2,3,3,,,,Fysisk / In-person,Instagram (chemistry content),"Website, Instagram",Ingen preferanse / No preferance for day,2:00:00 PM,5,4,4,3,,Other,Not familiar with the organization,
Forskningsinstitutt,,,,,Other,Member,"Informed about recent development, Community",This year,5,,,,Lectures,1-3 years ago,,4,"Atomberedskap, kjemiske stridsmidler, vann/luftkvalitet m.m",5,Vet ikke ennå,5,2,2,4,Nettverking/Sosialt,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website, Facebook",Torsdag / Thursday,,4,4,5,5,200,Other,,
Pensioner,,,,,Other,Member,"Community, Networking",This year,3,,,,"Lectures, Conferences/Meetings",1-3 years ago,,5,verktøy som hjelper til å gjøre gode valg,5,Bioraffineri ,2,1,5,4,Spesifikke forslag,Workshops by Prof. Steven Abbott: Solubility science; surfactant science; particle formulation science,,Ingen preferanse / No preference,"YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Website",Ingen preferanse / No preferance for day,9:00:00 AM,5,4,5,5,250,Other,,Other
A student at a bachelor level,,,Nanoteknologi,UiB,Academia,Non-member,,,,Yes,3,Not familiar with the benefits,,Never,"Was not informed about the event, I have felt that I have not been in the target audience for the events",4,Ny forskning,5,,5,4,2,3,,,,Fysisk / In-person,"Podcast about chemistry, Instagram (chemistry content)","Instagram, Posters at my faculty","Mandag / Monday, Torsdag / Thursday",6:00:00 PM,3,4,2,3,300,Other,,
Teacher,,,,,Other,Member,"Became a member when I was a student, The publication ""Kjemi""",This year,4,,,,Conferences/Meetings,More than 3 years ago,"The time of the event did not suit me well, Did not have time",4,,4,,4,1,3,1,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Instagram (chemistry content)","E-mail, Facebook","Onsdag / Wednesday, Torsdag / Thursday",,5,5,4,5,200,Other,,
Employed in industry,Microbeads AS,,,,Industry,Member,Community,This year,2,,,,Conferences/Meetings,More than 3 years ago,"No events have been neither interesting or relevant for me, I have felt that I have not been in the target audience for the events",3,,2,,4,2,4,2,,,,Digitalt / Digitally,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",7:00:00 PM,5,3,1,1,,That it exists,No time,
University employee,,(Assoc.) Professor,,Norwegian University of Life Sciences,Academia,Member,"Became a member when I was a student, The publication ""Kjemi"", Community",This year,4,,,,Conferences/Meetings,1-3 years ago,,4,"Relevant for meg (det vil derfor variere sterkt med fagfeltet). Nobelpriser, synteser, medisinske eller samfunnsrelevante spørsmål med tilknytning til kjemi",3,,3,1,4,2,,,,"Fysisk / In-person, Digitalt / Digitally","YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website","Onsdag / Wednesday, Torsdag / Thursday",3:00:00 PM,5,4,3,3,200,That it exists,,
University employee,,(Assoc.) Professor,,Norwegian University of Life Sciences,Academia,Member,Community,This year,4,,,,Conferences/Meetings,1-3 years ago,,4,Organisk kjemi og samfunnsrelevant kjemi,3,,4,2,4,2,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website, Discord","Onsdag / Wednesday, Torsdag / Thursday",3:00:00 PM,5,5,3,4,150,That it exists,,
Teacher,,,,,Other,Member,Subject interest,This year,4,,,,Lectures,1-3 years ago,,5,,5,Batteriproduksjon (og andre i kategorien grønn energi),1,1,3,1,,,,"Fysisk / In-person, Digitalt / Digitally","YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content",E-mail,"Onsdag / Wednesday, Søndag / Sunday",8:00:00 PM,4,5,5,5,200,That it exists,,
University employee,,(Assoc.) Professor,,UiB,Academia,Member,,This year,2,,,,,1-3 years ago,,4,,4,"Research focused institutions to learn more about current research activities, TioTech",1,3,4,3,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content, Instagram (chemistry content)","E-mail, Website, Instagram, Posters at my faculty",Ingen preferanse / No preferance for day,7:00:00 PM,5,5,5,5,400,That it exists,"Outdated, Low activity, Low visibility",
Teacher,,,,,Other,Non-member,,,,Yes,3,Not relevant for me,,1-3 years ago,,4,F.eks. om nobelprisvinnere og kjemien bak,3,,3,2,5,1,,"Tilpasset til lærere, f.eks. en gang deltok jeg på en med ulike undervisningsopplegg mtp programmering. Det var veldig fint.",,Digitalt / Digitally,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website",Torsdag / Thursday,6:00:00 PM,3,4,3,5,250,That it exists,,
Teacher,,,,,Other,Member,Other,This year,2,,,,"Conferences/Meetings, kurs",1-3 years ago,,5,Kjemikaliehåndtering vgs,4,Bedrifter som tar i mot skolebesøk,4,1,3,3,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Instagram (chemistry content)","E-mail, Facebook",Ingen preferanse / No preferance for day,6:00:00 PM,4,4,4,4,200,That it exists,,Politics
Ph.D. student,,Ph.D. student,Chemistry,UiS,Academia,Member,"Events, Conferences",Never,,,,,,Never,Not been a member for long,4,Green chemistry and the green energy transition,3,,3,2,4,5,Nettverking/Sosialt,,,Fysisk / In-person,"YouTube videos about chemistry, Newsletter with short form content",E-mail,"Fredag / Friday, Lørdag / Saturday",7:30:00 PM,5,4,4,5,300,"That it exists, Events/Lectures",Website,
Rådgivning/Konsulent,,,,,Other,Member,Informed about recent development,This year,3,,,,,More than 3 years ago,"The time of the event did not suit me well, Other",5,"miljøgifter, organisk kjemi, kjemihistorie",3,,3,1,3,1,,Digitale foredrag,,Digitalt / Digitally,"Podcast about chemistry, Livestream/VODs from NKS events",E-mail,"Mandag / Monday, Tirsdag / Tuesday, Torsdag / Thursday",7:00:00 PM,5,3,1,1,,"That it exists, The publication ""Kjemi""",Too academic,Bedrifter
University employee,,(Assoc.) Professor,,Inland Norway University of Applied Sciences,Academia,Member,Recommended membership,This year,4,,,,,1-3 years ago,,4,Forskning innen biomedisin,3,,3,1,4,1,,Flere digitale arrangement som det med Katja Elgstøen og Steven RH Wilson.,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content",E-mail,Ingen preferanse / No preferance for day,5:00:00 PM,3,4,2,2,,"The publication ""Kjemi""",,Record lectures/Streaming/Webinars
University employee,,Postdoc / Researcher,,NTNU,Academia,Member,,This year,4,,,,kurs,More than 3 years ago,"The time of the event did not suit me well, Did not have time",4,kjemi i historisk  kontekst,2,,4,3,4,1,,,,Ingen preferanse / No preference,Newsletter with short form content,E-mail,,,3,4,1,1,,"The publication ""Kjemi""",,
Pensioner,,,,,Other,Member,"Became a member when I was a student, Subject interest",This year,5,,,,Conferences/Meetings,1-3 years ago,,5,,4,"Mongstad oljeraffineri, Asela Sløvåg, Wergeland industrier lagring av radioaktivt  materiale",1,1,3,3,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content",E-mail,"Mandag / Monday, Tirsdag / Tuesday, Ingen preferanse / No preferance for day",6:00:00 PM,4,4,3,3,,"The publication ""Kjemi""",,Other
University employee,,(Assoc.) Professor,,Western Norway University of Applied Sciences,Academia,Member,Community,This year,4,,,,,1-3 years ago,,4,,4,Alle prosess- og kjemirelaterte er av interesse,5,4,4,3,,,,Ingen preferanse / No preference,Livestream/VODs from NKS events,"E-mail, Posters at my faculty","Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",2:00:00 PM,5,5,4,4,350,"The publication ""Kjemi"", Events/Lectures, Company visits","Low visibility, Low activity",Other
Pensioner,,,,,Other,Member,I am a chemist,This year,4,,,,Conferences/Meetings,1-3 years ago,,4,History of chemistry and pharmaceutical chemistry,5,Food and pharmaceutical companies ,2,2,2,4,Nettverking/Sosialt,Lectures and visits to relavent companies,,Fysisk / In-person,"Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website","Mandag / Monday, Tirsdag / Tuesday",5:00:00 PM,4,3,3,3,,,,
University employee,,Dosent,,UiT,Academia,Member,Conferences,This year,3,,,,,1-3 years ago,,3,,2,,1,1,2,1,,Mange av universitetsansatte som er medlem i NKS jobber (blant andre ting) med undervisning. Likevel er undervisning i høyere utdanning ikke et sentralt tema i NKS sine arrangmenent. Jeg kunne tenke meg å delta på og bidra til erfaringsdeling rundt undervisning i kjemi i høyere utdanning. Jeg mener NKS er egnet organisasjon til å legge til rette for slik nasjonal erfaringsdeling.,,"Fysisk / In-person, Digitalt / Digitally",Other,"E-mail, Posters at my faculty","Torsdag / Thursday, Fredag / Friday",2:15:00 PM,4,3,1,1,,,Other,
Employed in industry,Flokk AS,,,,Industry,Member,I am a chemist,This year,2,,,,,More than 3 years ago,"The time of the event did not suit me well, No events have been neither interesting or relevant for me",2,,2,,2,1,1,2,,"Kjemi i hverdagen uten for mye dypdykk i detaljene. Dere har hatt noen artikler i kjemi bladet om sånne temaer. skismøring eksempel. Vi omgir oss med mye kjemi, men vet det ikke. Det er interessant utgangspunkt å gjøre det forstålig.",,Ingen preferanse / No preference,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Website, Facebook",Ingen preferanse / No preferance for day,6:00:00 PM,4,3,1,4,200,,Too academic,
Pensioner,,,,,Other,Non-member,,,,No,3,Not relevant for me,,Never,Cost,4,"Tja, si det.",1,,1,1,1,1,,"Tja, si det",,Ingen preferanse / No preference,,Facebook,Ingen preferanse / No preferance for day,,3,1,1,1,0,,Low activity (Teachers),
University employee,,(Assoc.) Professor,,NTNU,Academia,Member,,This year,3,,,,Lectures,1-3 years ago,,5,Elektrokjemisk-/fotokatakyserte synteser,5,"Bayer, Jotun og pharmaQ",5,3,4,5,Nettverking/Sosialt,"Kanskje noe opp mot hvordan vi som gruppe kan påvirke politisk beslutningstaking og forskningsfinansiering? Typ: ""hvordan kan/bør vi som forskere påvirke politiske beslutninger""?",,Ingen preferanse / No preference,"Podcast about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Website, Facebook",Ingen preferanse / No preferance for day,,4,2,2,5,400,,Not unified enough,Other
Ph.D. student,,,Chemistry,NTNU,Academia,Member,"Informed about recent development, Conferences",1-3 years ago,3,,,,Conferences/Meetings,1-3 years ago,,4,,4,,5,3,5,4,Nettverking/Sosialt,,,Ingen preferanse / No preference,"Podcast about chemistry, Livestream/VODs from NKS events, Newsletter with short form content",E-mail,Ingen preferanse / No preferance for day,3:00:00 PM,4,4,3,5,200,,Low activity,
University employee,,(Assoc.) Professor,,UiT,Academia,Member,"Informed about recent development, Community",This year,4,,,,"Conferences/Meetings, Lectures",1-3 years ago,,5,,5,,4,4,4,3,,,,Fysisk / In-person,"Livestream/VODs from NKS events, Newsletter with short form content, Instagram (chemistry content)",E-mail,"Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday, Lørdag / Saturday",4:00:00 PM,5,5,1,1,,,Outdated,
Ph.D. student,,Ph.D. student,Chemistry,UiO,Academia,Member,,This year,3,,,,,1-3 years ago,,1,,5,,1,1,1,5,Nettverking/Sosialt,,,Fysisk / In-person,,E-mail,"Onsdag / Wednesday, Fredag / Friday",6:00:00 PM,3,3,1,1,,,Other,
Pensioner,,,,,Other,Member,Community,This year,4,,,,,1-3 years ago,,5,Industrielle prosesser; miljøproblemer ,5,"Toro, SubSea",1,1,3,4,"Vitenskapelig, Nettverking/Sosialt",Profileringsstand ved semesterstart,,Fysisk / In-person,"YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Website, Posters at my faculty",Torsdag / Thursday,7:01:00 PM,5,4,2,1,,,Website,
Employed in industry,Palla Pharma Norway AS,,,,Industry,Member,,This year,4,,,,,More than 3 years ago,Did not have time,5,No,5,"Yara, Hydro, Jotun",1,2,4,3,,,,Ingen preferanse / No preference,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events","E-mail, Website, Facebook",Mandag / Monday,6:00:00 PM,5,5,2,2,,,Not unified enough,Other
A student at master's level,,,Chemistry,UiO,Academia,Non-member,,,,No,4,,Lectures,Never,"Was not informed about the event, I have felt that I have not been in the target audience for the events",5,"Inorganic, industru, R&D, jobb opportunities",5,Hydro or anything industry/process/resource refinement,3,4,5,3,,,,Fysisk / In-person,,"E-mail, Website, Facebook, Discord, Posters at my faculty","Fredag / Friday, Lørdag / Saturday, Søndag / Sunday, Ingen preferanse / No preferance for day",4:15:00 PM,5,3,3,4,350,,Not unified enough,
Employed in industry,Alcoa,,,,Industry,Member,"Subject interest, Informed about recent development",This year,4,,,,,1-3 years ago,,4,,5,,5,4,5,4,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail,",Ingen preferanse / No preferance for day,,3,2,3,4,,,"Too academic, Should be more approachable",Other
University employee,,(Assoc.) Professor,,UiS,Academia,Member,"Subject interest, Community",This year,5,,,,Conferences/Meetings,1-3 years ago,,5,"Akvakultur, bioteknologi",5,"Laboratorier innen akvakultur, f.eks. Skretting",3,2,5,3,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry",E-mail,"Tirsdag / Tuesday, Torsdag / Thursday",5:00:00 PM,5,5,4,5,300,,Too  much Norwegian content,
University employee,,Engineer,,UiB,Academia,Member,"Community, Duty, Networking, Conferences, Events",This year,4,,,,Conferences/Meetings,1-3 years ago,,5,Jeg er mest interessert i analytisk kjemi/atom spektroskopi + populærvitenskap,3,,2,2,3,2,,"Flere korte, lavterskel arrangementer av typen vi arrangerer i bergen + digitale kvelds arrangementer,",,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday",7:00:00 PM,5,4,4,4,,,The local groups forms clicks,
Employed in industry,DIPS,,,,Industry,Member,I am a chemist,This year,3,,,,Conferences/Meetings,1-3 years ago,,4,Banebrytende forskning,3,,1,1,2,1,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, Livestream/VODs from NKS events",E-mail,"Onsdag / Wednesday, Torsdag / Thursday",8:00:00 PM,4,3,4,5,200,,Low activity,
Employed in industry,Thermo Fisher Scientific ,,,,Industry,Member,Community,This year,3,,,,,1-3 years ago,,5,Kjemi relatert til industri ,2,,3,1,4,4,,Møter med politikere,,Ingen preferanse / No preference,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Twitter/X, Instagram (chemistry content)",E-mail,Ingen preferanse / No preferance for day,6:00:00 PM,5,3,3,1,,,"Website, Low visibility",
University employee,,(Assoc.) Professor,,NTNU,Academia,Member,I am a chemist,This year,3,,,,,More than 3 years ago,The time of the event did not suit me well,3,,2,,1,1,3,1,,,,Digitalt / Digitally,Newsletter with short form content,E-mail,Ingen preferanse / No preferance for day,,3,3,1,2,,,Outdated,Other
A student at a bachelor level,,,Chemistry,UiB,Academia,Non-member,,,,Yes,2,Not relevant for me,"kurs, Nobel dinner",1-3 years ago,,3,,4,"Equinor, FRAMO, Borregard",5,3,4,4,"Julebord,Nettverking/Sosialt",Ikke som jeg kommer på,,Ingen preferanse / No preference,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Twitter/X, Instagram (chemistry content)","Facebook, Instagram, Posters at my faculty",Ingen preferanse / No preferance for day,7:00:00 PM,5,3,2,5,300,,Low visibility,"Increase visibility, Increase activity, Increase visibility"
Teacher,,,,,Other,Member,Events,This year,3,,,,,1-3 years ago,,5,"Undervisning i kjemi, batteriteknologi, teknologibruk i kjemi, beregningskjemi",3,,4,4,3,2,,,,Fysisk / In-person,"Podcast about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Facebook, Posters at my faculty",Ingen preferanse / No preferance for day,9:00:00 AM,4,4,5,5,300,,"Too academic, The publication ""Kjemi""",
A student at a bachelor level,,,Chemistry,NTNU,Academia,Non-member,,,,No,2,Not familiar with the benefits,,Never,"Was not informed about the event, I have felt that I have not been in the target audience for the events, Late/little/bad information",4,Kvantekjemi,5,Yara,5,5,5,2,,"Type forskningsdager, arrangement for barn for ungdom og vgs. ",,Fysisk / In-person,"Podcast about chemistry, Newsletter with short form content",Posters at my faculty,"Fredag / Friday, Lørdag / Saturday",6:15:00 PM,4,3,1,2,,,Other,"Increase visibility, Increase activity, Increase visibility"
A student at a bachelor level,,,Chemistry,UiO,Academia,Non-member,,,,No,2,Not familiar with the benefits,,Never,"Was not informed about the event, Did not have time",4,forskning på havet,5,,3,3,3,3,,,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Posters at my faculty","Mandag / Monday, Tirsdag / Tuesday",4:00:00 PM,4,2,3,3,,,,
Pensioner,,,,,Other,Member,Old habit,More than 3 years ago,2,,,,,1-3 years ago,,1,,3,,1,1,1,4,Nettverking/Sosialt,,,Fysisk / In-person,"Podcast about chemistry, Newsletter with short form content",E-mail,Ingen preferanse / No preferance for day,,5,4,1,1,,,,"Increase visibility, Increase activity, Increase visibility"
Employed in industry,Hystar,,,,Industry,Member,I am a chemist,This year,4,,,,"Lectures, Conferences/Meetings",1-3 years ago,,4,Ny utvikling i faget,3,,3,1,2,3,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events",E-mail,"Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",7:00:00 PM,4,3,3,3,,,,
Teacher,,,,,Other,Member,Subject interest,This year,4,,,,Lectures,1-3 years ago,,5,"Viktige kjemiske bidrag i det grønne skiftet. Oppdatering på sentral forskning innen: Batteri, solcelle, hydrogen",5,Kjemisk industri,5,1,5,1,,,,Digitalt / Digitally,"Livestream/VODs from NKS events, Newsletter with short form content","E-mail, Website","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",7:00:00 PM,3,4,3,3,200,,,
Other,,,,,Other,Member,,This year,5,,,,,1-3 years ago,,5,"Jeg er interessert i biokjemi og mikrobiologi, så jeg kunne tenke meg litt mer om det. Ellers hadde jeg glede av foredraget om matkjemi for noen år sida og mer hverdagskjemi kunne også vært litt artig.",3,,3,3,4,3,,Offentlige knallforelesninger. Kjemien trenger litt mer PR.,,Fysisk / In-person,"Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Instagram (chemistry content)","E-mail, Website, Facebook","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday",6:00:00 PM,3,5,3,5,200,,,
A student at a bachelor level,,,Chemistry,UiB,Academia,Member,Community,This year,3,,,,"Lectures, kurs",1-3 years ago,,4,"Kjernekjemi, nevrovitskap og kjemi",4,"Bergen Vann, Hansa, 7 Fjell, Toro, Kavli",5,3,4,4,,,,"Fysisk / In-person, Digitalt / Digitally","Podcast about chemistry, YouTube videos about chemistry, Livestream/VODs from NKS events, Twitter/X, Instagram (chemistry content)","E-mail, Facebook, Instagram, Discord, Posters at my faculty","Tirsdag / Tuesday, Torsdag / Thursday, Søndag / Sunday",6:00:00 PM,4,2,3,4,350,,"Outdated, Low visibility",
Ph.D. student,,,Chemistry,UiT,Academia,Member,"Events, Community, Networking",Never,1,,,,,Never,The time of the event did not suit me well,3,,3,,3,4,4,4,,,,Fysisk / In-person,,"E-mail, Instagram","Mandag / Monday, Tirsdag / Tuesday, Onsdag / Wednesday, Torsdag / Thursday, Fredag / Friday, Ingen preferanse / No preferance for day",,3,3,4,3,100,,,
University employee,,Postdoc / Researcher,,UiO,Academia,Member,"Community, The publication ""Kjemi""",This year,3,,,,Conferences/Meetings,1-3 years ago,,4,"Classical-mechanical, molecular dynamics approaches to binding free energy studies, such as FEP, transformato, lamda dynamics, etc",3,,2,2,3,2,,,,Ingen preferanse / No preference,Newsletter with short form content,E-mail,Ingen preferanse / No preferance for day,2:00:00 PM,5,4,4,4,400,,,
